HA,4,79,w1,w2,w3,w4
65,0,37,4,-4,-2,1
66,0,37,4,1,2,-4
67,0,37,4,2,-4,1
68,0,42,-4,4,-1,-3
69,0,42,4,-4,1,3
70,0,45,-4,2,-3,4
71,0,45,-3,4,-4,-2
72,0,45,-2,-3,4,-4
73,0,45,2,3,-4,4
74,0,45,3,-4,4,2
75,0,45,4,-2,3,-4
76,0,49,-4,-4,-1,4
77,0,49,-1,4,-4,4
78,0,49,1,-4,4,-4
79,0,49,4,4,1,-4
80,0,52,-4,-4,-4,2
81,0,52,4,4,4,-2
82,1,5,-2,1,0,0
83,1,9,-2,-2,1,0
84,1,9,0,0,0,-3
85,1,10,-1,-2,-2,1
86,1,10,0,0,3,-1
87,1,11,-1,1,0,3
88,1,11,1,-3,1,0
89,1,11,1,3,-1,0
90,1,12,-1,1,-3,1
91,1,13,2,0,0,3
92,1,14,0,3,2,-1
93,1,14,1,0,-3,-2
94,1,14,1,0,3,2
95,1,14,2,0,-3,1
96,1,15,-1,-2,1,3
97,1,16,-2,-2,-2,-2
98,1,17,4,-1,0,0
99,1,18,-2,1,-3,-2
100,1,18,-2,1,3,2
101,1,18,1,-3,-2,-2
102,1,18,1,3,2,2
103,1,18,2,-3,-2,1
104,1,18,3,2,2,-1
105,1,19,-3,1,0,-3
106,1,19,0,-3,1,-3
107,1,19,0,3,-1,-3
108,1,19,3,-1,0,-3
109,1,20,-3,1,3,-1
110,1,20,3,-1,3,-1
111,1,21,-2,4,-1,0
112,1,21,4,2,-1,0
113,1,22,-4,-1,-2,1
114,1,23,-3,-2,1,-3
115,1,23,2,-3,1,3
116,1,23,2,3,-1,3
117,1,23,3,2,-1,-3
118,1,24,0,-2,-2,4
119,1,26,-1,0,3,-4
120,1,26,0,-3,4,-1
121,1,26,0,1,-3,4
122,1,27,-4,-1,1,3
123,1,27,-1,4,-1,3
124,1,28,-2,-2,4,2
125,1,28,-2,4,2,2
126,1,28,2,2,2,-4
127,1,28,4,2,2,2
128,1,29,-4,2,0,3
129,1,30,-4,2,-3,1
130,1,30,-3,-2,4,-1
131,1,30,-3,-1,-2,4
132,1,30,-3,4,2,-1
133,1,30,-1,3,2,-4
134,1,30,1,-3,4,2
135,1,30,1,3,-4,-2
136,1,30,2,-1,3,-4
137,1,30,2,3,-4,1
138,1,30,4,-1,-3,-2
139,1,30,4,-1,3,2
140,1,33,4,-4,1,0
141,1,34,-4,-4,-1,1
142,1,34,-1,4,-4,1
143,1,34,3,0,-3,4
144,1,35,-3,4,-1,-3
145,1,35,3,-4,1,-3
146,1,38,-3,2,-3,4
147,1,38,3,-3,-2,4
148,1,40,-2,4,-4,-2
149,1,40,4,-4,-2,-2
150,1,40,4,2,-4,-2
151,1,42,-4,1,3,-4
152,1,42,-3,-4,-1,4
153,1,42,-1,-3,4,-4
154,1,42,3,-4,4,-1
155,1,45,-4,-4,2,3
156,1,45,-3,-4,-4,2
157,1,48,0,4,-4,4
158,1,49,-4,-4,-4,-1
159,1,50,3,3,-4,4
160,1,52,-4,-2,4,-4
161,1,52,-4,4,2,-4
162,1,52,2,-4,4,-4
163,1,52,4,-4,4,2
164,2,4,2,0,0,0
165,2,6,-1,-2,1,0
166,2,9,0,-2,-2,1
167,2,10,0,1,0,3
168,2,10,1,0,0,-3
169,2,11,0,1,-3,1
170,2,11,1,0,3,-1
171,2,13,-1,-2,-2,-2
172,2,14,-2,1,0,-3
173,2,14,0,-2,1,3
174,2,14,2,-3,1,0
175,2,14,2,3,-1,0
176,2,15,-3,-1,-2,1
177,2,15,-2,1,3,-1
178,2,15,-1,1,-3,-2
179,2,15,-1,1,3,2
180,2,15,1,3,2,-1
181,2,17,2,0,-3,-2
182,2,17,2,0,3,2
183,2,18,-4,-1,1,0
184,2,18,-2,-2,1,-3
185,2,18,-1,4,-1,0
186,2,18,3,0,0,3
187,2,19,3,0,-3,1
188,2,20,-4,2,0,0
189,2,20,-3,-1,1,3
190,2,20,1,-3,1,-3
191,2,20,1,3,-1,-3
192,2,21,2,-3,-2,-2
193,2,21,2,3,2,2
194,2,22,-3,2,0,3
195,2,23,-3,2,-3,1
196,2,23,3,-3,-2,1
197,2,25,-4,-1,-2,-2
198,2,25,-2,-2,4,-1
199,2,25,-2,-1,-2,4
200,2,25,-2,4,2,-1
201,2,25,-1,-2,4,2
202,2,25,-1,4,2,2
203,2,25,0,0,3,-4
204,2,25,1,-2,-2,4
205,2,25,4,2,2,-1
206,2,26,0,4,-1,3
207,2,26,4,-1,0,-3
208,2,27,-3,-4,-1,1
209,2,27,1,-3,4,-1
210,2,27,1,1,-3,4
211,2,27,4,-1,3,-1
212,2,28,3,-3,1,3
213,2,28,3,3,-1,3
214,2,29,0,3,2,-4
215,2,30,-2,4,-1,-3
216,2,30,4,2,-1,-3
217,2,33,-4,2,-3,-2
218,2,33,-4,2,3,2
219,2,33,-2,2,-3,4
220,2,33,0,4,-4,1
221,2,33,2,-3,4,2
222,2,33,2,3,-4,-2
223,2,33,3,2,2,-4
224,2,35,-3,1,3,-4
225,2,35,3,-1,3,-4
226,2,35,3,3,-4,1
227,2,36,-4,-4,2,0
228,2,37,-4,-4,-1,-2
229,2,37,-4,-1,4,2
230,2,37,-2,-4,-1,4
231,2,37,-1,4,-4,-2
232,2,38,-3,-4,2,3
233,2,40,-2,-4,-4,2
234,2,41,0,-3,4,-4
235,2,41,4,0,-3,4
236,2,42,-3,-4,-4,-1
237,2,42,4,-4,1,-3
238,2,45,-3,-2,4,-4
239,2,45,-3,4,2,-4
240,2,45,4,-3,-2,4
241,2,49,1,4,-4,4
242,2,49,4,-4,4,-1
243,2,57,3,-4,4,-4
244,2,57,4,3,-4,4
245,2,64,-4,-4,-4,-4
246,3,5,0,-2,1,0
247,3,9,3,0,0,0
248,3,10,-2,-1,-2,1
249,3,10,1,-2,-2,1
250,3,11,-3,-1,1,0
251,3,11,-1,1,0,-3
252,3,11,1,1,0,3
253,3,12,-1,1,3,-1
254,3,12,0,-2,-2,-2
255,3,12,1,1,-3,1
256,3,13,-3,2,0,0
257,3,13,2,0,0,-3
258,3,14,0,1,-3,-2
259,3,14,0,1,3,2
260,3,14,2,0,3,-1
261,3,15,-2,-1,1,3
262,3,15,-1,-2,1,-3
263,3,15,1,-2,1,3
264,3,17,-2,2,0,3
265,3,17,0,4,-1,0
266,3,18,-3,-1,-2,-2
267,3,18,-2,2,-3,1
268,3,18,2,3,2,-1
269,3,19,3,-3,1,0
270,3,19,3,3,-1,0
271,3,22,-2,-4,-1,1
272,3,22,-1,-2,4,-1
273,3,22,-1,-1,-2,4
274,3,22,-1,4,2,-1
275,3,22,3,0,-3,-2
276,3,22,3,0,3,2
277,3,23,2,-3,1,-3
278,3,23,2,3,-1,-3
279,3,24,0,-2,4,2
280,3,24,0,4,2,2
281,3,25,4,0,0,3
282,3,26,-3,2,-3,-2
283,3,26,-3,2,3,2
284,3,26,1,0,3,-4
285,3,26,3,-3,-2,-2
286,3,26,3,3,2,2
287,3,26,4,0,-3,1
288,3,27,-4,-1,1,-3
289,3,27,-1,4,-1,-3
290,3,27,1,4,-1,3
291,3,28,2,-2,-2,4
292,3,29,-4,2,0,-3
293,3,29,-3,-4,2,0
294,3,30,-4,2,3,-1
295,3,30,-3,-4,-1,-2
296,3,30,-3,-1,4,2
297,3,30,-2,1,3,-4
298,3,30,-1,2,-3,4
299,3,30,1,3,2,-4
300,3,30,2,-3,4,-1
301,3,30,2,1,-3,4
302,3,30,4,-3,-2,1
303,3,33,-2,-4,2,3
304,3,34,-4,-1,4,-1
305,3,34,-1,-4,-1,4
306,3,34,1,4,-4,1
307,3,35,4,-3,1,3
308,3,35,4,3,-1,3
309,3,36,-4,0,-2,4
310,3,36,0,4,-4,-2
311,3,37,-2,-4,-4,-1
312,3,37,-1,-4,-4,2
313,3,38,3,-3,4,2
314,3,38,3,3,-4,-2
315,3,40,-2,-2,4,-4
316,3,40,-2,4,2,-4
317,3,40,4,2,2,-4
318,3,42,-4,-3,-1,4
319,3,42,1,-3,4,-4
320,3,42,4,-1,3,-4
321,3,42,4,3,-4,1
322,3,45,-4,-4,2,-3
323,3,45,-4,-3,-4,2
324,3,50,-4,3,-3,4
325,3,52,2,4,-4,4
326,3,57,-3,-4,-4,-4
327,3,64,4,-4,4,-4
328,4,6,-2,-1,1,0
329,4,6,1,-2,1,0
330,4,7,-1,-1,-2,1
331,4,8,-2,2,0,0
332,4,10,0,1,0,-3
333,4,11,0,1,3,-1
334,4,12,-1,-1,1,3
335,4,13,-2,-1,-2,-2
336,4,13,1,-2,-2,-2
337,4,13,2,-2,-2,1
338,4,14,-1,2,0,3
339,4,14,0,-2,1,-3
340,4,14,2,1,0,3
341,4,15,-1,2,-3,1
342,4,15,1,1,-3,-2
343,4,15,1,1,3,2
344,4,15,2,1,-3,1
345,4,16,4,0,0,0
346,4,18,1,4,-1,0
347,4,18,2,-2,1,3
348,4,18,3,0,0,-3
349,4,19,-1,-4,-1,1
350,4,19,3,0,3,-1
351,4,20,-3,-1,1,-3
352,4,21,-4,0,-2,1
353,4,21,-2,2,-3,-2
354,4,21,-2,2,3,2
355,4,21,0,-2,4,-1
356,4,21,0,-1,-2,4
357,4,21,0,4,2,-1
358,4,22,-3,2,0,-3
359,4,23,-3,2,3,-1
360,4,23,3,3,2,-1
361,4,24,-2,-4,2,0
362,4,25,-2,-4,-1,-2
363,4,25,-2,-1,4,2
364,4,25,1,-2,4,2
365,4,25,1,4,2,2
366,4,26,-4,0,1,3
367,4,26,0,4,-1,-3
368,4,26,4,-3,1,0
369,4,26,4,3,-1,0
370,4,27,-4,-3,-1,1
371,4,27,-3,-1,4,-1
372,4,27,-1,1,3,-4
373,4,28,3,-3,1,-3
374,4,28,3,3,-1,-3
375,4,29,-3,0,-2,4
376,4,29,0,2,-3,4
377,4,29,2,0,3,-4
378,4,29,4,0,-3,-2
379,4,29,4,0,3,2
380,4,30,-1,-4,2,3
381,4,30,2,4,-1,3
382,4,33,0,-4,-1,4
383,4,33,2,3,2,-4
384,4,33,3,-2,-2,4
385,4,33,4,-3,-2,-2
386,4,33,4,3,2,2
387,4,34,-4,3,0,3
388,4,34,-1,-4,-4,-1
389,4,35,-4,3,-3,1
390,4,35,-3,-3,-1,4
391,4,35,3,-3,4,-1
392,4,35,3,1,-3,4
393,4,36,0,-4,-4,2
394,4,37,-1,-2,4,-4
395,4,37,-1,4,2,-4
396,4,37,1,4,-4,-2
397,4,37,2,4,-4,1
398,4,38,-4,-3,2,3
399,4,38,-3,-4,2,-3
400,4,38,-3,-3,-4,2
401,4,42,-4,-3,-4,-1
402,4,43,-3,3,-3,4
403,4,45,-4,2,3,-4
404,4,45,2,-3,4,-4
405,4,45,4,-3,4,2
406,4,45,4,3,-4,-2
407,4,49,-4,-1,4,-4
408,4,52,-2,-4,-4,-4
409,4,57,3,4,-4,4
410,5,5,-1,2,0,0
411,5,5,2,1,0,0
412,5,6,0,-1,-2,1
413,5,9,2,-2,1,0
414,5,10,-1,-1,-2,-2
415,5,11,0,-1,1,3
416,5,11,1,1,0,-3
417,5,12,1,1,3,-1
418,5,13,0,2,0,3
419,5,14,-3,0,-2,1
420,5,14,0,2,-3,1
421,5,15,-2,-1,1,-3
422,5,15,1,-2,1,-3
423,5,16,2,-2,-2,-2
424,5,17,-4,0,1,0
425,5,17,-2,2,0,-3
426,5,18,-2,2,3,-1
427,5,18,-1,2,-3,-2
428,5,18,-1,2,3,2
429,5,18,0,-4,-1,1
430,5,18,2,1,-3,-2
431,5,18,2,1,3,2
432,5,18,3,-2,-2,1
433,5,19,-3,0,1,3
434,5,19,3,1,0,3
435,5,20,-3,-3,-1,1
436,5,20,3,1,-3,1
437,5,21,-1,-4,2,0
438,5,21,2,4,-1,0
439,5,22,-2,-1,4,-1
440,5,22,-1,-4,-1,-2
441,5,22,-1,-1,4,2
442,5,22,1,-2,4,-1
443,5,22,1,-1,-2,4
444,5,22,1,4,2,-1
445,5,23,3,-2,1,3
446,5,24,-4,0,-2,-2
447,5,24,-2,0,-2,4
448,5,25,-4,3,0,0
449,5,25,4,0,0,-3
450,5,26,0,1,3,-4
451,5,26,4,0,3,-1
452,5,27,-3,3,0,3
453,5,27,1,4,-1,-3
454,5,28,-3,3,-3,1
455,5,28,2,-2,4,2
456,5,28,2,4,2,2
457,5,29,-4,-3,2,0
458,5,29,0,-4,2,3
459,5,30,-4,-3,-1,-2
460,5,30,-2,-3,-1,4
461,5,30,1,2,-3,4
462,5,30,4,3,2,-1
463,5,31,-3,-3,2,3
464,5,33,-2,-4,2,-3
465,5,33,-2,-3,-4,2
466,5,33,0,-4,-4,-1
467,5,34,1,-4,-1,4
468,5,34,3,0,3,-4
469,5,35,-3,-3,-4,-1
470,5,35,3,4,-1,3
471,5,35,4,-3,1,-3
472,5,35,4,3,-1,-3
473,5,36,-4,0,4,2
474,5,36,0,-2,4,-4
475,5,36,0,4,2,-4
476,5,37,1,-4,-4,2
477,5,38,-4,3,-3,-2
478,5,38,-4,3,3,2
479,5,38,-3,2,3,-4
480,5,38,-2,3,-3,4
481,5,38,3,3,2,-4
482,5,40,2,4,-4,-2
483,5,40,4,-2,-2,4
484,5,42,-3,-1,4,-4
485,5,42,3,4,-4,1
486,5,42,4,-3,4,-1
487,5,42,4,1,-3,4
488,5,49,-1,-4,-4,-4
489,5,50,3,-3,4,-4
490,5,57,-4,-3,-4,-4
491,5,64,4,4,-4,4
492,6,4,0,2,0,0
493,6,7,1,-1,-2,1
494,6,9,-2,0,-2,1
495,6,9,0,-1,-2,-2
496,6,10,-3,0,1,0
497,6,10,3,1,0,0
498,6,12,-1,-1,1,-3
499,6,12,1,-1,1,3
500,6,14,-2,0,1,3
501,6,14,-1,2,0,-3
502,6,14,1,2,0,3
503,6,14,2,1,0,-3
504,6,14,3,-2,1,0
505,6,15,-2,-3,-1,1
506,6,15,-1,2,3,-1
507,6,15,1,2,-3,1
508,6,15,2,1,3,-1
509,6,17,-3,0,-2,-2
510,6,17,0,2,-3,-2
511,6,17,0,2,3,2
512,6,18,-3,3,0,0
513,6,18,2,-2,1,-3
514,6,19,-1,-1,4,-1
515,6,19,1,-4,-1,1
516,6,20,0,-4,2,0
517,6,21,-1,0,-2,4
518,6,21,0,-4,-1,-2
519,6,21,0,-1,4,2
520,6,21,3,-2,-2,-2
521,6,22,-3,-3,2,0
522,6,22,-2,3,0,3
523,6,23,-3,-3,-1,-2
524,6,23,-2,3,-3,1
525,6,23,3,1,-3,-2
526,6,23,3,1,3,2
527,6,25,2,-2,4,-1
528,6,25,2,-1,-2,4
529,6,25,2,4,2,-1
530,6,25,4,-2,-2,1
531,6,26,-4,0,1,-3
532,6,26,-2,-3,2,3
533,6,26,3,4,-1,0
534,6,26,4,1,0,3
535,6,27,-1,-3,-1,4
536,6,27,1,1,3,-4
537,6,27,4,1,-3,1
538,6,29,-3,0,4,2
539,6,30,-2,-3,-4,-1
540,6,30,-1,-4,2,-3
541,6,30,-1,-3,-4,2
542,6,30,1,-4,2,3
543,6,30,2,4,-1,-3
544,6,30,4,-2,1,3
545,6,31,-3,3,-3,-2
546,6,31,-3,3,3,2
547,6,33,-4,0,4,-1
548,6,33,-2,2,3,-4
549,6,33,2,2,-3,4
550,6,33,3,-2,4,2
551,6,33,3,4,2,2
552,6,34,-4,3,0,-3
553,6,34,1,-4,-4,-1
554,6,35,-4,3,3,-1
555,6,35,-1,3,-3,4
556,6,37,-4,-2,-1,4
557,6,37,-4,1,-2,4
558,6,37,-2,-1,4,-4
559,6,37,1,-2,4,-4
560,6,37,1,4,2,-4
561,6,37,2,-4,-1,4
562,6,38,-4,-3,2,-3
563,6,40,-4,-2,-4,2
564,6,40,2,-4,-4,2
565,6,41,4,0,3,-4
566,6,42,4,4,-1,3
567,6,45,3,4,-4,-2
568,6,45,4,3,2,-4
569,6,48,0,-4,-4,-4
570,6,49,4,4,-4,1
571,6,50,-3,-3,-4,-4
572,6,57,-4,4,-3,4
573,6,57,4,-3,4,-4
574,7,5,-2,0,1,0
575,7,5,1,2,0,0
576,7,6,-1,0,-2,1
577,7,10,1,-1,-2,-2
578,7,10,2,-1,-2,1
579,7,11,-1,0,1,3
580,7,11,0,-1,1,-3
581,7,12,-2,0,-2,-2
582,7,12,-1,-3,-1,1
583,7,13,-2,3,0,0
584,7,13,0,2,0,-3
585,7,14,0,2,3,-1
586,7,15,2,-1,1,3
587,7,17,-2,-3,2,0
588,7,17,2,2,0,3
589,7,17,4,1,0,0
590,7,18,-2,-3,-1,-2
591,7,18,0,-1,4,-1
592,7,18,1,2,-3,-2
593,7,18,1,2,3,2
594,7,18,2,2,-3,1
595,7,19,-3,0,1,-3
596,7,19,-1,3,0,3
597,7,19,3,1,0,-3
598,7,20,-1,3,-3,1
599,7,20,0,0,-2,4
600,7,20,3,1,3,-1
601,7,21,1,-4,2,0
602,7,21,4,-2,1,0
603,7,22,-4,-2,-1,1
604,7,22,-4,1,-2,1
605,7,22,1,-4,-1,-2
606,7,22,1,-1,4,2
607,7,22,2,-4,-1,1
608,7,23,-1,-3,2,3
609,7,23,3,-2,1,-3
610,7,24,-2,0,4,2
611,7,26,-3,0,4,-1
612,7,26,-2,3,-3,-2
613,7,26,-2,3,3,2
614,7,26,0,-3,-1,4
615,7,27,-4,1,1,3
616,7,27,-3,3,0,-3
617,7,27,-1,-3,-4,-1
618,7,28,-3,3,3,-1
619,7,28,4,-2,-2,-2
620,7,29,0,-4,2,-3
621,7,29,0,-3,-4,2
622,7,30,-3,-2,-1,4
623,7,30,-3,1,-2,4
624,7,30,-1,2,3,-4
625,7,30,2,1,3,-4
626,7,30,3,-2,4,-1
627,7,30,3,-1,-2,4
628,7,30,3,4,2,-1
629,7,30,4,1,-3,-2
630,7,30,4,1,3,2
631,7,31,-3,-3,2,-3
632,7,33,-4,-2,2,3
633,7,33,-3,-2,-4,2
634,7,33,2,-4,2,3
635,7,33,4,4,-1,0
636,7,34,-1,-1,4,-4
637,7,34,0,3,-3,4
638,7,35,3,4,-1,-3
639,7,37,-4,-2,-4,-1
640,7,37,2,-4,-4,-1
641,7,38,3,2,-3,4
642,7,40,2,-2,4,-4
643,7,40,2,4,2,-4
644,7,40,4,-2,4,2
645,7,40,4,4,2,2
646,7,41,-4,4,0,3
647,7,42,-4,4,-3,1
648,7,42,3,-4,-1,4
649,7,45,-2,-3,-4,-4
650,7,45,3,-4,-4,2
651,7,48,-4,0,4,-4
652,7,49,1,-4,-4,-4
653,7,50,-4,3,3,-4
654,7,50,-3,4,-3,4
655,7,52,4,4,-4,-2
656,8,5,0,0,-2,1
657,8,6,2,-1,1,0
658,8,8,2,2,0,0
659,8,9,-1,0,-2,-2
660,8,10,-1,3,0,0
661,8,10,0,0,1,3
662,8,11,0,-3,-1,1
663,8,12,1,-1,1,-3
664,8,13,2,-1,-2,-2
665,8,14,-2,0,1,-3
666,8,14,-1,-3,2,0
667,8,14,1,2,0,-3
668,8,15,-3,-2,-1,1
669,8,15,-3,1,-2,1
670,8,15,-1,-3,-1,-2
671,8,15,1,2,3,-1
672,8,15,3,-1,-2,1
673,8,18,-4,1,1,0
674,8,18,0,3,0,3
675,8,19,0,3,-3,1
676,8,19,1,-1,4,-1
677,8,20,-3,1,1,3
678,8,20,3,-1,1,3
679,8,21,-2,0,4,-1
680,8,21,-1,0,4,2
681,8,21,1,0,-2,4
682,8,21,2,2,-3,-2
683,8,21,2,2,3,2
684,8,22,-2,3,0,-3
685,8,22,0,-3,2,3
686,8,22,3,2,0,3
687,8,23,-2,3,3,-1
688,8,23,-1,3,-3,-2
689,8,23,-1,3,3,2
690,8,23,3,2,-3,1
691,8,24,-4,-2,2,0
692,8,24,2,-4,2,0
693,8,25,-4,-2,-1,-2
694,8,25,-4,1,-2,-2
695,8,25,-2,-2,-1,4
696,8,25,-2,1,-2,4
697,8,25,2,-4,-1,-2
698,8,25,2,-1,4,2
699,8,26,-3,-2,2,3
700,8,26,-2,-3,2,-3
701,8,26,0,-3,-4,-1
702,8,26,4,1,0,-3
703,8,27,1,-3,-1,4
704,8,27,3,-4,-1,1
705,8,27,4,1,3,-1
706,8,28,-2,-2,-4,2
707,8,29,0,2,3,-4
708,8,30,-3,-2,-4,-1
709,8,30,1,-4,2,-3
710,8,30,1,-3,-4,2
711,8,30,4,-2,1,-3
712,8,32,-4,4,0,0
713,8,33,0,-1,4,-4
714,8,34,-3,4,0,3
715,8,35,-3,4,-3,1
716,8,35,1,3,-3,4
717,8,35,3,1,3,-4
718,8,37,-4,1,4,2
719,8,37,4,-2,4,-1
720,8,37,4,-1,-2,4
721,8,37,4,4,2,-1
722,8,38,3,-4,2,3
723,8,41,-3,0,4,-4
724,8,42,-1,-3,-4,-4
725,8,42,3,-4,-4,-1
726,8,42,4,4,-1,-3
727,8,43,-3,3,3,-4
728,8,45,-4,4,-3,-2
729,8,45,-4,4,3,2
730,8,45,-2,4,-3,4
731,8,45,3,-2,4,-4
732,8,45,3,4,2,-4
733,8,45,4,2,-3,4
734,8,49,4,-4,-1,4
735,8,52,-4,-2,-4,-4
736,8,52,2,-4,-4,-4
737,8,52,4,-4,-4,2
738,9,6,1,0,-2,1
739,9,8,0,0,-2,-2
740,9,9,0,3,0,0
741,9,10,-2,-2,-1,1
742,9,10,-2,1,-2,1
743,9,11,-3,1,1,0
744,9,11,-1,0,1,-3
745,9,11,1,0,1,3
746,9,11,3,-1,1,0
747,9,12,1,-3,-1,1
748,9,13,0,-3,2,0
749,9,13,3,2,0,0
750,9,14,0,-3,-1,-2
751,9,15,-2,1,1,3
752,9,15,2,-1,1,-3
753,9,17,-3,-2,2,0
754,9,17,2,2,0,-3
755,9,18,-3,-2,-1,-2
756,9,18,-3,1,-2,-2
757,9,18,-1,0,4,-1
758,9,18,2,2,3,-1
759,9,18,3,-1,-2,-2
760,9,19,-1,3,0,-3
761,9,19,1,3,0,3
762,9,20,-1,3,3,-1
763,9,20,0,0,4,2
764,9,20,1,3,-3,1
765,9,21,-2,-2,2,3
766,9,22,-1,-2,-1,4
767,9,22,-1,1,-2,4
768,9,22,0,3,-3,-2
769,9,22,0,3,3,2
770,9,22,2,-1,4,-1
771,9,22,4,-1,-2,1
772,9,23,-1,-3,2,-3
773,9,23,1,-3,2,3
774,9,24,2,0,-2,4
775,9,25,-3,4,0,0
776,9,25,-2,-2,-4,-1
777,9,25,-1,-2,-4,2
778,9,26,3,2,-3,-2
779,9,26,3,2,3,2
780,9,27,-4,1,1,-3
781,9,27,1,-3,-4,-1
782,9,27,4,-1,1,3
783,9,29,-2,4,0,3
784,9,29,3,-4,2,0
785,9,29,4,2,0,3
786,9,30,-3,1,4,2
787,9,30,-2,4,-3,1
788,9,30,1,2,3,-4
789,9,30,2,-3,-1,4
790,9,30,3,-4,-1,-2
791,9,30,3,-1,4,2
792,9,30,4,2,-3,1
793,9,33,-4,-2,2,-3
794,9,33,2,-4,2,-3
795,9,33,2,-3,-4,2
796,9,34,-4,-1,-1,4
797,9,34,-4,1,4,-1
798,9,34,1,-1,4,-4
799,9,34,4,-4,-1,1
800,9,36,-2,0,4,-4
801,9,37,-4,-1,-4,2
802,9,38,-3,4,-3,-2
803,9,38,-3,4,3,2
804,9,38,-2,3,3,-4
805,9,38,2,3,-3,4
806,9,40,-4,2,-2,4
807,9,41,-4,4,0,-3
808,9,41,0,-3,-4,-4
809,9,42,-4,4,3,-1
810,9,42,-1,4,-3,4
811,9,42,4,1,3,-4
812,9,45,-4,-4,-3,2
813,9,45,-3,-2,-4,-4
814,9,45,4,-4,2,3
815,9,48,-4,-4,0,4
816,9,49,4,-4,-4,-1
817,9,52,4,-2,4,-4
818,9,52,4,4,2,-4
819,9,57,3,-4,-4,-4
820,10,6,-2,1,1,0
821,10,7,-1,-2,-1,1
822,10,7,-1,1,-2,1
823,10,9,1,0,-2,-2
824,10,9,2,0,-2,1
825,10,10,0,0,1,-3
826,10,10,1,3,0,0
827,10,12,-2,-2,2,0
828,10,12,-1,1,1,3
829,10,13,-2,-2,-1,-2
830,10,13,-2,1,-2,-2
831,10,14,1,-3,2,0
832,10,14,2,0,1,3
833,10,15,1,-3,-1,-2
834,10,15,2,-3,-1,1
835,10,17,0,0,4,-1
836,10,18,-1,-2,2,3
837,10,18,0,3,0,-3
838,10,18,4,-1,1,0
839,10,19,-4,-1,-1,1
840,10,19,0,3,3,-1
841,10,20,-3,1,1,-3
842,10,20,-2,4,0,0
843,10,20,3,-1,1,-3
844,10,20,4,2,0,0
845,10,21,0,-2,-1,4
846,10,21,0,1,-2,4
847,10,21,1,0,4,2
848,10,22,-1,-2,-4,-1
849,10,22,0,-3,2,-3
850,10,22,2,3,0,3
851,10,22,3,2,0,-3
852,10,23,1,3,-3,-2
853,10,23,1,3,3,2
854,10,23,2,3,-3,1
855,10,23,3,2,3,-1
856,10,24,0,-2,-4,2
857,10,25,-4,2,-2,1
858,10,25,-2,1,4,2
859,10,25,4,-1,-2,-2
860,10,26,-3,-2,2,-3
861,10,26,-1,4,0,3
862,10,26,2,-3,2,3
863,10,27,-3,-1,-1,4
864,10,27,-3,1,4,-1
865,10,27,-1,4,-3,1
866,10,27,3,-1,4,-1
867,10,29,3,0,-2,4
868,10,30,-4,-1,2,3
869,10,30,-4,2,1,3
870,10,30,-3,-1,-4,2
871,10,30,2,-3,-4,-1
872,10,33,-4,-4,0,1
873,10,33,-3,2,-2,4
874,10,33,-2,4,-3,-2
875,10,33,-2,4,3,2
876,10,33,-1,0,4,-4
877,10,33,2,2,3,-4
878,10,33,4,2,-3,-2
879,10,33,4,2,3,2
880,10,34,-4,-1,-4,-1
881,10,34,-3,4,0,-3
